tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58840781,19812,58840.843500939,-0.10810459,-0.14292453,0.00428489,-0.98380262
58840796,19813,58840.857390139,-0.10807802,-0.14291809,0.00434009,-0.98380625
58840796,19814,58840.870655056,-0.10809713,-0.14291829,0.00434294,-0.98380417
58840812,19815,58840.884544156,-0.10805513,-0.14287996,0.00427168,-0.98381460
58840828,19816,58840.898433356,-0.10807198,-0.14283688,0.00432000,-0.98381883
58840843,19817,58840.912322356,-0.10813355,-0.14288291,0.00425642,-0.98380566
58840859,19818,58840.926211356,-0.10808659,-0.14287432,0.00426693,-0.98381203
58840875,19819,58840.940100356,-0.10811844,-0.14284524,0.00426741,-0.98381281
58840890,19820,58840.953989356,-0.10811710,-0.14284052,0.00427058,-0.98381352
58840906,19821,58840.967878456,-0.10805894,-0.14288414,0.00430473,-0.98381352
58840906,19822,58840.981767556,-0.10806137,-0.14284083,0.00427684,-0.98381960
58840921,19823,58840.995656756,-0.10805157,-0.14282751,0.00430796,-0.98382246
58840937,19824,58841.009545856,-0.10806873,-0.14287306,0.00434238,-0.98381382
58840953,19825,58841.023434856,-0.10807250,-0.14289379,0.00429506,-0.98381060
58840968,19826,58841.037324056,-0.10804563,-0.14286155,0.00431104,-0.98381823
58840984,19827,58841.051213256,-0.10808297,-0.14289974,0.00426601,-0.98380870
58841000,19828,58841.065102156,-0.10809407,-0.14282370,0.00435838,-0.98381811
58841015,19829,58841.078991256,-0.10812873,-0.14283629,0.00430516,-0.98381275
58841031,19830,58841.092880356,-0.10805091,-0.14286812,0.00427966,-0.98381680
58841046,19831,58841.106769456,-0.10808145,-0.14283364,0.00430495,-0.98381829
58841046,19832,58841.120658556,-0.10806431,-0.14288208,0.00428829,-0.98381323
58841062,19833,58841.134547556,-0.10809689,-0.14286752,0.00425774,-0.98381186
